,,합계금액,공급가액,세액,,,,,
,휴먼합계,"6,621,938,908","6,020,722,571","601,216,337",,,,,
매입계산서,,,,,,,,,
주식회사 휴먼엠에스,,,,,,,,,
작성일자,상호,합계금액,공급가액,세액,품목비고,,,,
2017-03-15,(주)아마존카,"251,200","228,364","22,836",승계수수료,,,,
2017-03-27,(주)아마존카,"-79,317","-72,107","-7,210",37회차 대여료,,,,
2017-03-27,(주)아마존카,"295,650","268,773","26,877",37회차 대여료,,,,
2017-04-06,초월피복,"1,064,800","968,000","96,800",안전모 안전조끼,,,,
2017-04-10,초월피복,"193,600","176,000","17,600",안전모,,,,
2017-04-10,초월피복,"985,600","896,000","89,600",안전모,,,,
2017-04-10,초월피복,"-1,064,800","-968,000","-96,800",안전모 안전조끼,,,,
2017-04-10,（주）아웃소싱화인,"11,880,000","10,800,000","1,080,000",외주용역비,,,,
2017-04-11,（주）아웃소싱화인,"825,000","750,000","75,000",외주용역비,,,,
2017-04-15,(주)아마존카,"282,847","257,134","25,713",38회차 대여료,,,,
2017-04-24,(주) 어배인,"7,832,000","7,120,000","712,000",,,,,
2017-05-15,(주)아마존카,"446,600","406,000","40,600",39회차 대여료,,,,
2017-06-15,(주)아마존카,"446,600","406,000","40,600",40회차 대여료,,,,
2017-06-30,법무법인 정론 서초분사무소,"111,000","100,910","10,090",수수료,,,,
2017-07-15,(주)아마존카,"446,600","406,000","40,600",41회차 대여료,,,,
2017-08-15,(주)아마존카,"446,600","406,000","40,600",42회차 대여료,,,,
2017-09-15,(주)아마존카,"446,600","406,000","40,600",43회차 대여료,,,,
2017-09-28,잡코리아 유한책임회사,"12,100","11,000","1,100",알바몬 유료 서비스,,,,
2017-09-29,잡코리아 유한책임회사,"162,400","147,636","14,764",알바몬 유료 서비스,,,,
2017-10-15,(주)아마존카,"446,600","406,000","40,600",44회차 대여료,,,,
2017-10-17,잡코리아 유한책임회사,"338,000","307,273","30,727",알바몬 유료 서비스,,,,
2017-10-18,잡코리아 유한책임회사,"162,400","147,636","14,764",알바몬 유료 서비스,,,,
2017-11-15,(주)아마존카,"446,600","406,000","40,600",45회차 대여료,,,,
2017-11-30,S.O.M 서비스(ShareOne'sMan services),"22,000,000","20,000,000","2,000,000",일용비,,,,
2017-12-15,(주)아마존카,"446,600","406,000","40,600",46회차 대여료,2017년,,,
2017-12-20,잡코리아 유한책임회사,"-217,000","-197,273","-19,727",[알바몬] 유료서비스,합계금액,공급가액,세액,
2017-12-20,잡코리아 유한책임회사,"-78,200","-71,091","-7,109",[알바몬] 유료서비스,"48,530,080","44,118,255","4,411,825",
2018-01-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-01-15,(주)아마존카,"446,600","406,000","40,600",47회차 대여료,,,,
2018-02-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-02-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-02-12,(주)코스콤,"55,000","50,000","5,000",공인인증서발급,,,,
2018-02-15,(주)아마존카,"446,600","406,000","40,600",48회차 대여료,,,,
2018-03-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-03-09,피씨엔진,"660,000","600,000","60,000","중고 모니터, PC",,,,
2018-03-12,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-03-27,(주)아마존카,"610,353","554,866","55,487",49회차 대여료,,,,
2018-03-28,하랑엠에스,"10,000","9,091",909,일용비,,,,
2018-04-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-04-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-04-15,(주)아마존카,"247,000","224,545","22,455",50회차 대여료,,,,
4/17/2018,잡코리아 유한책임회사,"7,700","7,000",700,알바몬 유료 서비스,,,,
4/26/2018,잡코리아 유한책임회사,"7,700","7,000",700,알바몬 유료 서비스,,,,
4/28/2018,(주)미디어윌네트웍스,"11,000","10,000","1,000",구인광고,,,,
2018-04-30,하랑엠에스,"5,500,000","5,000,000","500,000",일용비,,,,
2018-04-30,하랑엠에스,"33,000,000","30,000,000","3,000,000",일용비,,,,
2018-05-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-05-12,잡코리아 유한책임회사,"7,700","7,000",700,알바몬 유료 서비스,,,,
2018-05-13,잡코리아 유한책임회사,"12,100","11,000","1,100",알바몬 유료 서비스,,,,
2018-05-15,(주)아마존카,"390,000","354,545","35,455",51회차 대여료,,,,
2018-05-24,(주)미디어윌네트웍스,"12,100","11,000","1,100",구인광고,,,,
2018-05-31,S.O.M 서비스(ShareOne'sMan services),"6,600,000","6,000,000","600,000",일용비,,,,
2018-05-31,하랑엠에스,"4,950,000","4,500,000","450,000",일용비,,,,
2018-06-01,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-06-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-06-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-06-15,(주)아마존카,"390,000","354,545","35,455",52회차 대여료,,,,
2018-07-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-07-15,(주)아마존카,"390,000","354,545","35,455",53회차 대여료,,,,
2018-08-01,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-08-13,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-08-15,(주)아마존카,"390,000","354,545","35,455",54회차 대여료,,,,
2018-08-31,S.O.M 서비스(ShareOne'sMan services),"33,000,000","30,000,000","3,000,000",일용비(미성),,,,
2018-08-31,S.O.M 서비스(ShareOne'sMan services),"9,615,760","8,741,600","874,160",일용비(한성),,,,
2018-08-31,S.O.M 서비스(ShareOne'sMan services),"28,411,726","25,828,842","2,582,884",일용비(두잉),,,,
2018-08-31,S.O.M 서비스(ShareOne'sMan services),"17,498,063","15,907,330","1,590,733",일용비(티마크),,,,
2018-08-31,S.O.M 서비스(ShareOne'sMan services),"21,840,500","19,855,000","1,985,500",일용비(파라다이스),,,,
2018-08-31,S.O.M 서비스(ShareOne'sMan services),"16,830,000","15,300,000","1,530,000",일용비(시그니엘),,,,
2018-09-01,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-09-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-09-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-09-15,(주)아마존카,"390,000","354,545","35,455",55회차 대여료,,,,
2018-10-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-10-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-10-15,(주)아마존카,"390,000","354,545","35,455",56회차 대여료,,,,
2018-11-01,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2018-11-09,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-11-15,(주)아마존카,"390,000","354,545","35,455",57회차 대여료,,,,
2018-11-17,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2018-11-30,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2018-12-01,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-12-03,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2018-12-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-12-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,2018년,,,
2018-12-15,(주)아마존카,"390,000","354,545","35,455",58회차 대여료,합계금액,공급가액,세액,
2018-12-31,홍익세무회계사무소,"220,000","200,000","20,000",기장료,"190,637,962","173,307,234","17,330,728",
2019-01-02,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-01-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-01-15,(주)아마존카,"390,000","354,545","35,455",59회차 대여료,,,,
2019-01-31,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-02-01,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-02-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-02-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-02-11,좋은사람들,"-18,700,000","-17,000,000","-1,700,000",일용비,,,,
2019-02-11,좋은사람들,"18,700,000","17,000,000","1,700,000",일용비,,,,
2019-02-15,(주)아마존카,"390,000","354,545","35,455",60회차 대여료,,,,
2019-02-18,NICE평가정보(주),"385,000","350,000","35,000",기업신용평가,,,,
2019-02-28,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-03-04,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-03-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-03-27,(주)아마존카,"533,000","484,545","48,455",61회차 대여료,,,,
2019-03-31,홍익세무회계사무소,"4,117,677","3,743,338","374,339",조정료,,,,
2019-03-31,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-04-01,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-04-01,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-04-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-04-15,(주)아마존카,"215,270","195,700","19,570",62회차 대여료,,,,
2019-04-30,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-05-01,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-05-02,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-05-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-05-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-05-15,(주)아마존카,"339,900","309,000","30,900",63회차 대여료,,,,
2019-05-31,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-06-03,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-06-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-06-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-06-11,법무사 양근형 사무소,"440,000","400,000","40,000",채권압류및추심명령,,,,
2019-06-15,(주)아마존카,"339,900","309,000","30,900",64회차 대여료,,,,
2019-06-30,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-07-01,(주)휴먼엠에스,"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-07-10,(주)휴먼엠에스,"440,000","400,000","40,000",채권압류및추심,,,,
2019-07-11,(주)휴먼엠에스,"27,500","25,000","2,500",프린터임대료,,,,
2019-07-15,(주)휴먼엠에스,"339,900","309,000","30,900",65회차 대여료,,,,
2019-07-31,(주)휴먼엠에스,"220,000","200,000","20,000",기장료,,,,
2019-08-01,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-08-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-08-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-08-15,(주)아마존카,"339,900","309,000","30,900",66회차 대여료,,,,
2019-08-31,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-09-02,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-09-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2019-09-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2019-09-15,(주)아마존카,"339,900","309,000","30,900",67회차 대여료,,,,
2019-09-30,홍익세무회계사무소,"220,000","200,000","20,000",기장료,,,,
2019-10-01,하나캐피탈(주),"349,030","317,300","31,730",렌터카 대여료( 23호7475 ),,,,
2019-10-01,제이디자인,"108,300,000","98,454,545","9,845,455",용역비,,,,
2019-10-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
